src,deal_id,Company_or_Group,priority_year,patent_families,Coverage_Basis,citations,deal_event_id,completion_year,RelativeYear,acquirer,target,Final_Classification,Classification_Confidence,Eligibility,InnovationDeal,is_primary_innovation,is_alternative,member_deal_ids,asinh_families
control,CTL-0096,USV Pvt Ltd,2011,2,Inferred from observed earliest-priority-year range,0,EVT-FB4925D1,2018,-7,USV Pvt Ltd,Juta Pharma GmbH,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0096,1.4436354751788103
control,CTL-0096,USV Pvt Ltd,2012,0,Inferred from observed earliest-priority-year range,0,EVT-FB4925D1,2018,-6,USV Pvt Ltd,Juta Pharma GmbH,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0096,0.0
control,CTL-0096,USV Pvt Ltd,2013,1,Inferred from observed earliest-priority-year range,0,EVT-FB4925D1,2018,-5,USV Pvt Ltd,Juta Pharma GmbH,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0096,0.881373587019543
control,CTL-0096,USV Pvt Ltd,2014,0,Inferred from observed earliest-priority-year range,0,EVT-FB4925D1,2018,-4,USV Pvt Ltd,Juta Pharma GmbH,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0096,0.0
control,CTL-0096,USV Pvt Ltd,2015,0,Inferred from observed earliest-priority-year range,0,EVT-FB4925D1,2018,-3,USV Pvt Ltd,Juta Pharma GmbH,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0096,0.0
control,CTL-0096,USV Pvt Ltd,2016,0,Inferred from observed earliest-priority-year range,0,EVT-FB4925D1,2018,-2,USV Pvt Ltd,Juta Pharma GmbH,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0096,0.0
control,CTL-0096,USV Pvt Ltd,2017,0,Inferred from observed earliest-priority-year range,0,EVT-FB4925D1,2018,-1,USV Pvt Ltd,Juta Pharma GmbH,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0096,0.0
control,CTL-0096,USV Pvt Ltd,2018,1,Inferred from observed earliest-priority-year range,0,EVT-FB4925D1,2018,0,USV Pvt Ltd,Juta Pharma GmbH,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0096,0.881373587019543
control,CTL-0096,USV Pvt Ltd,2019,0,Inferred from observed earliest-priority-year range,0,EVT-FB4925D1,2018,1,USV Pvt Ltd,Juta Pharma GmbH,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0096,0.0
control,CTL-0096,USV Pvt Ltd,2020,1,Inferred from observed earliest-priority-year range,1,EVT-FB4925D1,2018,2,USV Pvt Ltd,Juta Pharma GmbH,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0096,0.881373587019543
